App Name, App Version, True positive (vulnerable), False positive, False negative, True negative (safe), More Details
Google Settings, 13, 2/2, 0/2, 0/0, 0/0,
SIM Toolkit, 13, 0/0, 0/0, 0/0, 0/0,
Google Messages, 20220809_01_RC02, 7/8, 1/8, 0/0, 0/0,
Google Calendar, 2022.16.2, 3/3, 0/3, 0/0, 0/0,
Google Contacts, 3.68.0.445910596, 1/2, 1/2, 0/0, 0/0,
Gmail, 2022.05.01.448071085, 8/11, 3/11, 0/0, 0/0,
Google Play Service, 22.50.14, 93/110, 17/110, 0/0, 0/0,
GBoard, 11.9.06.452014594, 2/4, 2/4, 0/0, 0/0,
Samsung Gallery, 14.1.04.2, 1/1, 0/1, 0/0, 0/0,
Samsung Internet Browser, 21.0.0.33, 2/2, 0/2, 0/0, 0/0,
Asus Calculator, 9.1.0.3,2/2,0/2,0/0,0/0,
Samsung Email, 6.1.75.0, 14/16, 2/16, 0/0, 0/0,
Asus File Manager, 2.8.0.85,1/1,0/1,0/0,0/0,
